bodyid,name,type,PN_type,tract,glomerulus
5813039235,DM6_adPN_R,DM6_adPN,uPN,mALT,DM6
1849684319,VM6_lvPN_R,VM6_lvPN,uPN,mALT,VM6
632751823,VM6_lvPN_R,VM6_lvPN,uPN,mALT,VM6
5813055184,D_adPN_R,D_adPN,uPN,mALT,D
1536947502,D_adPN_R,D_adPN,uPN,mALT,D
5813038889,D_adPN_R,D_adPN,uPN,mALT,D
1734350908,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1
1765040289,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1
754534424,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1
754538881,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1
1734350788,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1
722817260,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1
5813039315,DA1_lPN_R,DA1_lPN,uPN,mALT,DA1
1796818119,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2
1827516355,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2
1796817841,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2
818983130,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2
1797505019,DA2_lPN_R,DA2_lPN,uPN,mALT,DA2
1703683361,DA3_adPN_R,DA3_adPN,uPN,mALT,DA3
666135689,DA3_adPN_R,DA3_adPN,uPN,mALT,DA3
544021095,DA4l_adPN_R,DA4l_adPN,uPN,mALT,DA4l
574037266,DA4m_adPN_R,DA4m_adPN,uPN,mALT,DA4m
1640594274,DC1_adPN_R,DC1_adPN,uPN,mALT,DC1
1828206773,DC2_adPN_R,DC2_adPN,uPN,mALT,DC2
5813055048,DC2_adPN_R,DC2_adPN,uPN,mALT,DC2
5813039471,DC3_adPN_R,DC3_adPN,uPN,mALT,DC3
1858171399,DC3_adPN_R,DC3_adPN,uPN,mALT,DC3
1857825571,DC3_adPN_R,DC3_adPN,uPN,mALT,DC3
5813056596,DC4_adPN_R,DC4_adPN,uPN,mALT,DC4
1700937093,DL1_adPN_R,DL1_adPN,uPN,mALT,DL1
1700946301,DL1_adPN_R,DL1_adPN,uPN,mALT,DL1
788648194,DL2d_adPN_R,DL2d_adPN,uPN,mALT,DL2d
1793014716,DL2d_adPN_R,DL2d_adPN,uPN,mALT,DL2d
5813024710,DL2d_adPN_R,DL2d_adPN,uPN,mALT,DL2d
1756579280,DL2d_adPN_R,DL2d_adPN,uPN,mALT,DL2d
1793351401,DL2d_adPN_R,DL2d_adPN,uPN,mALT,DL2d
